questions,answer,type
 Which team won the 1930 FIFA World Cup?(Give me the name only),Uruguay,name
 Who emerged as the victor of the 1930 FIFA World Cup?(Give me the name only),Uruguay,name
 Which nation lifted the trophy in the 1930 FIFA World Cup?(Give me the name only),Uruguay,name
 Who claimed the championship title in the 1930 FIFA World Cup?(Give me the name only),Uruguay,name
 Which team was crowned the winner of the 1930 FIFA World Cup?(Give me the name only),Uruguay,name
 Who was the triumphant team in the 1930 FIFA World Cup?(Give me the name only),Uruguay,name
 Which country secured the championship in the 1930 FIFA World Cup?(Give me the name only),Uruguay,name
 Who took home the top honors in the 1930 FIFA World Cup?(Give me the name only),Uruguay,name
 Which nation became the champions of the 1930 FIFA World Cup?(Give me the name only),Uruguay,name
 Who was declared the winner of the 1930 FIFA World Cup?(Give me the name only),Uruguay,name
 Which team achieved victory in the 1930 FIFA World Cup?(Give me the name only),Uruguay,name
 Who clinched the title in the 1930 FIFA World Cup?(Give me the name only),Uruguay,name
 Which team emerged victorious in the 1930 FIFA World Cup?(Give me the name only),Uruguay,name
 Who won the 1930 FIFA World Cup?(Give me the name only),Uruguay,name
 Which nation triumphed in the 1930 FIFA World Cup?(Give me the name only),Uruguay,name
 Which team won the 1934 FIFA World Cup?(Give me the name only),Italy,name
 Who emerged as the victor of the 1934 FIFA World Cup?(Give me the name only),Italy,name
 Which nation lifted the trophy in the 1934 FIFA World Cup?(Give me the name only),Italy,name
 Who claimed the championship title in the 1934 FIFA World Cup?(Give me the name only),Italy,name
 Which team was crowned the winner of the 1934 FIFA World Cup?(Give me the name only),Italy,name
 Who was the triumphant team in the 1934 FIFA World Cup?(Give me the name only),Italy,name
 Which country secured the championship in the 1934 FIFA World Cup?(Give me the name only),Italy,name
 Who took home the top honors in the 1934 FIFA World Cup?(Give me the name only),Italy,name
 Which nation became the champions of the 1934 FIFA World Cup?(Give me the name only),Italy,name
 Who was declared the winner of the 1934 FIFA World Cup?(Give me the name only),Italy,name
 Which team achieved victory in the 1934 FIFA World Cup?(Give me the name only),Italy,name
 Who clinched the title in the 1934 FIFA World Cup?(Give me the name only),Italy,name
