Unnamed: 0,questions,answer,type
0,What was the population count of Australia's 0-4 age group in 2011?,"1,351,921",numeric
1,How many individuals aged 0-4 were there in Australia in 2011?,"1,351,921",numeric
2,What was Australia's population figure for the 0-4 age bracket in 2011?,"1,351,921",numeric
3,"In 2011, what was the number of people aged 0-4 residing in Australia?","1,351,921",numeric
4,What was the demographic size of Australia's 0-4 age category in 2011?,"1,351,921",numeric
5,How many residents aged 0-4 were recorded in Australia in 2011?,"1,351,921",numeric
6,What was the population tally for Australia's 0-4 age group in 2011?,"1,351,921",numeric
7,How many individuals aged 0-4 were living in Australia in 2011?,"1,351,921",numeric
8,What was the count of Australia's 0-4 age range population in 2011?,"1,351,921",numeric
9,What was the population size of Australia's 0-4 age group in 2011?,"1,351,921",numeric
10,What was the population census result for Australia's 0-4 age cohort in 2011?,"1,351,921",numeric
11,How many people in the age group 0-4 were accounted for in Australia's 2011 census?,"1,351,921",numeric
12,What was the population total for Australia's 0-4 age demographic in 2011?,"1,351,921",numeric
13,"In 2011, what was the population of Australia of the age group 0-4 years?","1,351,921",numeric
14,population of Australia in 2011 between 0-4 age group,"1,351,921",numeric
15,What was the population count of New South Wales's 0-4 age group in 2011?,"434,608",numeric
16,How many individuals aged 0-4 were there in New South Wales in 2011?,"434,608",numeric
17,What was New South Wales's population figure for the 0-4 age bracket in 2011?,"434,608",numeric
18,"In 2011, what was the number of people aged 0-4 residing in New South Wales?","434,608",numeric
19,What was the demographic size of New South Wales's 0-4 age category in 2011?,"434,608",numeric
20,How many residents aged 0-4 were recorded in New South Wales in 2011?,"434,608",numeric
21,What was the population tally for New South Wales's 0-4 age group in 2011?,"434,608",numeric
22,How many individuals aged 0-4 were living in New South Wales in 2011?,"434,608",numeric
23,What was the count of New South Wales's 0-4 age range population in 2011?,"434,608",numeric
24,What was the population size of New South Wales's 0-4 age group in 2011?,"434,608",numeric
25,What was the population census result for New South Wales's 0-4 age cohort in 2011?,"434,608",numeric
26,How many people in the age group 0-4 were accounted for in New South Wales's 2011 census?,"434,608",numeric
27,What was the population total for New South Wales's 0-4 age demographic in 2011?,"434,608",numeric
28,"In 2011, what was the population of New South Wales of the age group 0-4 years?","434,608",numeric
29,population of New South Wales in 2011 between 0-4 age group,"434,608",numeric
30,What was the population count of Victoria's 0-4 age group in 2011?,"326,121",numeric
31,How many individuals aged 0-4 were there in Victoria in 2011?,"326,121",numeric
32,What was Victoria's population figure for the 0-4 age bracket in 2011?,"326,121",numeric
33,"In 2011, what was the number of people aged 0-4 residing in Victoria?","326,121",numeric
34,What was the demographic size of Victoria's 0-4 age category in 2011?,"326,121",numeric
35,How many residents aged 0-4 were recorded in Victoria in 2011?,"326,121",numeric
36,What was the population tally for Victoria's 0-4 age group in 2011?,"326,121",numeric
37,How many individuals aged 0-4 were living in Victoria in 2011?,"326,121",numeric
38,What was the count of Victoria's 0-4 age range population in 2011?,"326,121",numeric
39,What was the population size of Victoria's 0-4 age group in 2011?,"326,121",numeric
40,What was the population census result for Victoria's 0-4 age cohort in 2011?,"326,121",numeric
41,How many people in the age group 0-4 were accounted for in Victoria's 2011 census?,"326,121",numeric
42,What was the population total for Victoria's 0-4 age demographic in 2011?,"326,121",numeric
43,"In 2011, what was the population of Victoria of the age group 0-4 years?","326,121",numeric
44,population of Victoria in 2011 between 0-4 age group,"326,121",numeric
45,What was the population count of Queensland's 0-4 age group in 2011?,"286,989",numeric
46,How many individuals aged 0-4 were there in Queensland in 2011?,"286,989",numeric
47,What was Queensland's population figure for the 0-4 age bracket in 2011?,"286,989",numeric
48,"In 2011, what was the number of people aged 0-4 residing in Queensland?","286,989",numeric
49,What was the demographic size of Queensland's 0-4 age category in 2011?,"286,989",numeric
50,How many residents aged 0-4 were recorded in Queensland in 2011?,"286,989",numeric
51,What was the population tally for Queensland's 0-4 age group in 2011?,"286,989",numeric
52,How many individuals aged 0-4 were living in Queensland in 2011?,"286,989",numeric
53,What was the count of Queensland's 0-4 age range population in 2011?,"286,989",numeric
54,What was the population size of Queensland's 0-4 age group in 2011?,"286,989",numeric
55,What was the population census result for Queensland's 0-4 age cohort in 2011?,"286,989",numeric
56,How many people in the age group 0-4 were accounted for in Queensland's 2011 census?,"286,989",numeric
57,What was the population total for Queensland's 0-4 age demographic in 2011?,"286,989",numeric
58,"In 2011, what was the population of Queensland of the age group 0-4 years?","286,989",numeric
59,population of Queensland in 2011 between 0-4 age group,"286,989",numeric
60,What was the population count of South Australia's 0-4 age group in 2011?,"93,202",numeric
61,How many individuals aged 0-4 were there in South Australia in 2011?,"93,202",numeric
62,What was South Australia's population figure for the 0-4 age bracket in 2011?,"93,202",numeric
63,"In 2011, what was the number of people aged 0-4 residing in South Australia?","93,202",numeric
64,What was the demographic size of South Australia's 0-4 age category in 2011?,"93,202",numeric
65,How many residents aged 0-4 were recorded in South Australia in 2011?,"93,202",numeric
66,What was the population tally for South Australia's 0-4 age group in 2011?,"93,202",numeric
67,How many individuals aged 0-4 were living in South Australia in 2011?,"93,202",numeric
68,What was the count of South Australia's 0-4 age range population in 2011?,"93,202",numeric
69,What was the population size of South Australia's 0-4 age group in 2011?,"93,202",numeric
70,What was the population census result for South Australia's 0-4 age cohort in 2011?,"93,202",numeric
71,How many people in the age group 0-4 were accounted for in South Australia's 2011 census?,"93,202",numeric
72,What was the population total for South Australia's 0-4 age demographic in 2011?,"93,202",numeric
73,"In 2011, what was the population of South Australia of the age group 0-4 years?","93,202",numeric
74,population of South Australia in 2011 between 0-4 age group,"93,202",numeric
75,What was the population count of Western Australia's 0-4 age group in 2011?,"142,774",numeric
76,How many individuals aged 0-4 were there in Western Australia in 2011?,"142,774",numeric
77,What was Western Australia's population figure for the 0-4 age bracket in 2011?,"142,774",numeric
78,"In 2011, what was the number of people aged 0-4 residing in Western Australia?","142,774",numeric
79,What was the demographic size of Western Australia's 0-4 age category in 2011?,"142,774",numeric
80,How many residents aged 0-4 were recorded in Western Australia in 2011?,"142,774",numeric
81,What was the population tally for Western Australia's 0-4 age group in 2011?,"142,774",numeric
82,How many individuals aged 0-4 were living in Western Australia in 2011?,"142,774",numeric
83,What was the count of Western Australia's 0-4 age range population in 2011?,"142,774",numeric
84,What was the population size of Western Australia's 0-4 age group in 2011?,"142,774",numeric
85,What was the population census result for Western Australia's 0-4 age cohort in 2011?,"142,774",numeric
86,How many people in the age group 0-4 were accounted for in Western Australia's 2011 census?,"142,774",numeric
87,What was the population total for Western Australia's 0-4 age demographic in 2011?,"142,774",numeric
88,"In 2011, what was the population of Western Australia of the age group 0-4 years?","142,774",numeric
89,population of Western Australia in 2011 between 0-4 age group,"142,774",numeric
90,What was the population count of Tasmania's 0-4 age group in 2011?,"30,231",numeric
91,How many individuals aged 0-4 were there in Tasmania in 2011?,"30,231",numeric
92,What was Tasmania's population figure for the 0-4 age bracket in 2011?,"30,231",numeric
93,"In 2011, what was the number of people aged 0-4 residing in Tasmania?","30,231",numeric
94,What was the demographic size of Tasmania's 0-4 age category in 2011?,"30,231",numeric
95,How many residents aged 0-4 were recorded in Tasmania in 2011?,"30,231",numeric
96,What was the population tally for Tasmania's 0-4 age group in 2011?,"30,231",numeric
